super_opeid,name
3963,American Institute Of Business
24,Anthem College And The Bryman School Of Arizona
20789,Art Institute Of Colorado
10195,Art Institute Of Fort Lauderdale
25256,Art Institute Of New York City
8350,Art Institute Of Philadelphia
7470,Art Institute Of Pittsburgh
7819,Art Institute Of Portland
22913,Art Institute Of Seattle
25578,Art Institute Of York  - Pennsylvania
10248,Art Institutes International Minnesota
9721,"Bradford School of Pittsburgh, PA"
20757,Briarcliffe College
1123,Brooks Institute
7351,Brown College
22202,California Culinary Academy
4889,Cambria Rowe Business College
1473,Clearwater Christian College
21107,Cleveland Institute Of Dental - Medical Assistants
4731,Daniel Webster College
2667,Dowling College
33283,Franklin Career Institute
4642,Globe University
20552,Harrington College Of Design
26110,Heritage College
10279,Hickey College
12584,Illinois Institute Of Art
21603,"International Academy Of Design And Technology of Chicago, IL"
33953,International Career Development Center
2937,King's College
23522,Le Cordon Bleu College Of Culinary Arts In Chicago
25693,"Le Cordon Bleu College Of Culinary Arts of Dallas, TX"
32103,"Le Cordon Bleu College Of Culinary Arts of Pasadena, CA"
26167,"Le Cordon Bleu College Of Culinary Arts of Scottsdale, AZ"
30226,"Le Cordon Bleu College Of Culinary Arts of Tucker, GA"
9407,Lincoln College Of New England
30012,McNally Smith College Of Music
25889,Medtech College
4646,Minnesota School Of Business
9795,Missouri College
2193,Mount Ida College
10168,Nationwide Beauty Academy
7486,New England Institute Of Art
10490,Regency Beauty Institute
11647,SBI Campus - An Affiliate Of Sanford-Brown
1833,"Saint Joseph's College of Rensselaer, IN"
7481,"Sanford-Brown College of Boston, MA"
12877,"Sanford-Brown College of Farmington, CT"
22052,"Sanford-Brown College of Fenton, MO"
9420,"Sanford-Brown College of McLean, VA"
2649,Santa Fe University Of Art And Design
1983,St. Catharine College
11031,Technical Career Institutes
23122,Texas School Of Business
30306,Utah College Of Massage Therapy
30106,Virginia College
21715,Western International University
30727,Westwood College - Los Angeles
11626,Westwood College - South Bay
7405,Wood Tobe - Coburn School
25909,Wright Career College
